holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545
,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516
,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767
,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026
,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918
,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181
,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584
,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015
,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791
,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770
,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539
,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784
,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361
,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529
,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963
,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506
,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321
,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273
,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367
,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814
,278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,2718
,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673
,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511
,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471
,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097
,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887
,294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,5337
,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692
,295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,6137
,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623
,290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,3591
,288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,2898
,287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,2637
,286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1777
,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015
,284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,598
,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,369
,283.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,312
,282.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,367
,281.69,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,835
